id,source,year,down_payment_level,first_mortgage,long_amortization,rate_type,rate,posted,refinance_rate,type
905,TD,1,1,1,,fixed,2.79,1,,fixed
978,TD,10,2,1,,fixed,5.6,1,,fixed
186,CIBC,1,1,1,,fixed,2.79,1,,fixed
260,BMO,2,3,1,,fixed,3.16,,,fixed
25,TD,4,2,1,,fixed,4.05,,,fixed
261,BMO,2,4,1,,fixed,3.1,,,fixed
262,BMO,2,5,1,,fixed,3.05,,,fixed
26,TD,4,3,1,,fixed,3.96,,,fixed
196,CIBC,2,3,1,,fixed,3.11,,,fixed
928,CIBC,5,1,1,,variable,2.45,1,,variable
193,CIBC,2,1,1,,fixed,2.89,1,,fixed
222,CIBC,5,1,1,,variable,1.54,,,variable
731,motusbank,5,2,1,,fixed,1.89,,,fixed
200,CIBC,3,1,1,,fixed,3.49,1,,fixed
134,RBC,10,3,1,,fixed,6.16,,,fixed
135,RBC,10,4,1,,fixed,6.11,,,fixed
136,RBC,10,5,1,,fixed,6.06,,,fixed
655,Coast Capital,1,2,1,,fixed,3.09,,,fixed
663,Coast Capital,2,1,1,,fixed,3.12,1,,fixed
666,Coast Capital,2,2,1,,fixed,3.12,1,,fixed
209,CIBC,4,1,1,,fixed,4.24,1,,fixed
665,Coast Capital,2,2,1,,fixed,3.12,,,fixed
206,CIBC,3,1,1,,variable,2.45,,,variable
207,CIBC,3,2,1,,variable,2.45,,,variable
216,CIBC,5,1,1,,fixed,4.79,1,,fixed
1011,CMLS,6,2,1,,fixed,2.99,,,fixed
669,Coast Capital,3,1,1,,fixed,3.59,1,,fixed
926,CIBC,3,1,1,,variable,2.45,1,,variable
962,BMO,6,1,1,,fixed,5.24,,,fixed
296,BMO,5,1,1,1,fixed,4.79,1,,fixed
979,CIBC,3,2,1,,variable,2.45,1,,variable
955,BMO,3,1,1,,fixed,2.24,,,fixed
488,Equitable,1,1,1,,fixed,2.74,1,,fixed
253,BMO,2,1,1,,fixed,2.94,1,,fixed
127,RBC,10,1,1,,fixed,5.8,1,,fixed
963,BMO,6,1,1,1,fixed,5.24,,,fixed
1164,Manulife,2,2,1,,fixed,2.69,,,fixed
1165,Manulife,3,2,1,,fixed,2.49,,,fixed
1166,Manulife,4,2,1,,fixed,2.49,,,fixed
1167,Manulife,7,2,1,,fixed,4.54,,,fixed
1168,Manulife,10,2,1,,fixed,4.64,,,fixed
965,BMO,7,1,1,1,fixed,5.4,,,fixed
68,RBC,2,3,1,,fixed,2.31,,,fixed
1163,Manulife,1,2,1,,fixed,2.99,,,fixed
138,RBC,25,1,1,,fixed,8.75,1,,fixed
17,TD,2,4,1,,fixed,3.1,,,fixed
18,TD,2,5,1,,fixed,3.05,,,fixed
415,National,5,5,1,,fixed,2.2,,,fixed
123,RBC,7,3,1,,fixed,3.31,,,fixed
124,RBC,7,4,1,,fixed,3.25,,,fixed
255,BMO,2,1,1,1,fixed,2.94,1,,fixed
492,Equitable,2,1,1,,fixed,2.74,1,,fixed
264,BMO,3,1,1,,fixed,3.49,1,,fixed
266,BMO,3,1,1,1,fixed,3.49,1,,fixed
52,RBC,1,1,1,1,fixed,2.69,1,,fixed
63,RBC,2,1,1,1,fixed,2.94,1,,fixed
283,BMO,4,1,1,,fixed,4.09,1,,fixed
967,BMO,10,1,1,1,fixed,5.8,,,fixed
1254,Manulife,2,1,1,,fixed,2.69,,,fixed
1256,Manulife,4,1,1,,fixed,2.49,,,fixed
496,Equitable,3,1,1,,fixed,2.99,1,,fixed
1255,Manulife,3,1,1,,fixed,2.49,,,fixed
534,Scotiabank,3,1,1,,fixed,2.24,,2.24,fixed
19,TD,3,1,1,,fixed,2.14,,2.14,fixed
1257,Manulife,7,1,1,,fixed,4.54,,,fixed
1258,Manulife,10,1,1,,fixed,4.64,,,fixed
500,Equitable,4,1,1,,fixed,4.09,1,,fixed
294,BMO,5,1,1,,fixed,3.99,1,,fixed
334,BMO,10,1,1,,fixed,4.49,,,fixed
339,BMO,10,2,1,,fixed,4.49,1,,fixed
958,BMO,4,1,1,1,fixed,4.09,,,fixed
960,BMO,5,1,1,1,fixed,4.79,,,fixed
970,BMO,5,1,1,1,variable,2.45,,,variable
49,RBC,1,1,1,,fixed,2.44,,,fixed
122,RBC,7,2,1,1,fixed,5.4,1,,fixed
1010,CMLS,6,1,1,,fixed,2.99,,,fixed
489,Equitable,1,2,1,,fixed,2.99,,,fixed
1209,ICICI,1,2,1,,fixed,3.19,1,,fixed
198,CIBC,2,5,1,,fixed,3,,,fixed
419,National,5,4,1,,variable,2.61,,,variable
125,RBC,7,5,1,,fixed,3.2,,,fixed
69,RBC,2,4,1,,fixed,2.25,,,fixed
70,RBC,2,5,1,,fixed,2.2,,,fixed
358,HSBC,2,3,1,,fixed,2.55,,,fixed
359,HSBC,2,4,1,,fixed,2.5,,,fixed
360,HSBC,2,5,1,,fixed,2.45,,,fixed
394,National,1,4,1,,fixed,2.85,,,fixed
364,HSBC,3,3,1,,fixed,2.6,,,fixed
365,HSBC,3,4,1,,fixed,2.55,,,fixed
366,HSBC,3,5,1,,fixed,2.5,,,fixed
203,CIBC,3,3,1,,fixed,3.71,,,fixed
374,HSBC,5,3,1,,fixed,2.65,,,fixed
375,HSBC,5,4,1,,fixed,2.6,,,fixed
376,HSBC,5,5,1,,fixed,2.55,,,fixed
204,CIBC,3,4,1,,fixed,3.65,,,fixed
21,TD,3,3,1,,fixed,2.36,,,fixed
368,HSBC,3,1,1,,variable,3.95,1,,variable
380,HSBC,5,3,1,,variable,2.46,,,variable
381,HSBC,5,4,1,,variable,2.41,,,variable
382,HSBC,5,5,1,,variable,2.36,,,variable
813,HSBC,3,2,1,,variable,3.95,1,,variable
814,HSBC,3,2,1,,variable,3.95,,,variable
424,National,7,4,1,,fixed,5.55,,,fixed
205,CIBC,3,5,1,,fixed,3.6,,,fixed
22,TD,3,4,1,,fixed,2.3,,,fixed
79,RBC,3,3,1,,fixed,2.41,,,fixed
77,RBC,3,2,1,1,fixed,3.45,,,fixed
395,National,1,5,1,,fixed,2.8,,,fixed
112,RBC,5,3,1,,variable,2.12,,,variable
342,BMO,10,3,1,,fixed,6.02,,,fixed
15,TD,2,2,1,,fixed,3.25,,,fixed
273,BMO,3,5,1,,fixed,2.25,,,fixed
80,RBC,3,4,1,,fixed,2.35,,,fixed
113,RBC,5,4,1,,variable,2.06,,,variable
420,National,5,5,1,,variable,2.56,,,variable
343,BMO,10,4,1,,fixed,5.96,,,fixed
16,TD,2,3,1,,fixed,3.16,,,fixed
197,CIBC,2,4,1,,fixed,3.05,,,fixed
81,RBC,3,5,1,,fixed,2.3,,,fixed
114,RBC,5,5,1,,variable,2.01,,,variable
228,CIBC,7,1,1,,fixed,5.6,1,,fixed
672,Coast Capital,3,2,1,,fixed,3.59,1,,fixed
671,Coast Capital,3,2,1,,fixed,3.59,,,fixed
675,Coast Capital,4,1,1,,fixed,4.08,1,,fixed
388,HSBC,10,3,1,,fixed,3.45,,,fixed
389,HSBC,10,4,1,,fixed,3.4,,,fixed
390,HSBC,10,5,1,,fixed,3.35,,,fixed
214,CIBC,4,5,1,,fixed,4.35,,,fixed
189,CIBC,1,3,1,,fixed,3.01,,,fixed
190,CIBC,1,4,1,,fixed,2.95,,,fixed
191,CIBC,1,5,1,,fixed,2.9,,,fixed
249,BMO,1,3,1,,fixed,3.01,,,fixed
250,BMO,1,4,1,,fixed,2.95,,,fixed
399,National,2,4,1,,fixed,3.1,,,fixed
400,National,2,5,1,,fixed,3.05,,,fixed
271,BMO,3,3,1,,fixed,2.36,,,fixed
403,National,3,3,1,,fixed,3.67,,,fixed
235,CIBC,10,1,1,,fixed,6.09,1,,fixed
269,BMO,3,2,1,1,fixed,3.49,,,fixed
964,BMO,7,1,1,,fixed,5.4,,,fixed
116,RBC,7,1,1,,fixed,5.4,1,,fixed
74,RBC,3,1,1,1,fixed,3.45,1,,fixed
1248,ICICI,1,1,1,,fixed,3.19,1,,fixed
538,Scotiabank,3,1,1,,variable,3.2,,,variable
12,TD,1,4,1,,fixed,2.95,,,fixed
13,TD,1,5,1,,fixed,2.9,,,fixed
369,HSBC,4,1,1,,fixed,3.94,,,fixed
85,RBC,4,1,1,1,fixed,4.09,1,,fixed
668,Coast Capital,3,1,1,,fixed,1.99,,,fixed
57,RBC,1,3,1,,fixed,2.66,,,fixed
58,RBC,1,4,1,,fixed,2.6,,,fixed
404,National,3,4,1,,fixed,3.61,,,fixed
66,RBC,2,2,1,1,fixed,2.94,,,fixed
59,RBC,1,5,1,,fixed,2.55,,,fixed
88,RBC,4,2,1,1,fixed,4.09,,,fixed
405,National,3,5,1,,fixed,3.56,,,fixed
372,HSBC,5,1,1,,fixed,4.59,1,,fixed
490,Equitable,1,2,1,,fixed,2.74,1,2.74,fixed
499,Equitable,4,1,1,,fixed,2.24,,,fixed
1249,ICICI,2,1,1,,fixed,3.19,1,,fixed
1250,ICICI,3,1,1,,fixed,3.94,1,,fixed
1251,ICICI,4,1,1,,fixed,4.29,1,,fixed
491,Equitable,2,1,1,,fixed,2.24,,2.74,fixed
14,TD,2,1,1,,fixed,2.24,,2.24,fixed
1025,nuborrow,5,2,1,,variable,1.55,,1.55,variable
1181,Westworth Financial,5,2,1,,variable,1.4,,1.35,variable
526,Scotiabank,1,1,1,,fixed,2.79,,2.79,fixed
855,First Ontario,7,1,1,,fixed,2.69,1,,fixed
546,Scotiabank,5,2,1,,fixed,2.49,,2.39,fixed
340,BMO,10,2,1,1,fixed,5.8,,,fixed
808,HSBC,4,2,1,,fixed,3.94,,,fixed
91,RBC,4,4,1,,fixed,2.25,,,fixed
408,National,4,3,1,,fixed,2.26,,,fixed
275,BMO,3,1,1,,variable,4.15,1,,variable
279,BMO,3,2,1,,variable,4.15,1,,variable
274,BMO,3,1,1,,variable,4.15,,,variable
278,BMO,3,2,1,,variable,4.15,,,variable
277,BMO,3,1,1,1,variable,4.15,1,,variable
281,BMO,3,2,1,1,variable,4.15,1,,variable
276,BMO,3,1,1,1,variable,4.15,,,variable
280,BMO,3,2,1,1,variable,4.15,,,variable
305,BMO,5,1,1,,variable,2.45,1,,variable
309,BMO,5,2,1,,variable,2.45,1,,variable
307,BMO,5,1,1,1,variable,2.45,1,,variable
311,BMO,5,2,1,1,variable,2.45,1,,variable
28,TD,4,5,1,,fixed,3.85,,,fixed
47,TD,10,4,1,,fixed,5.76,,,fixed
302,BMO,5,4,1,,fixed,2.09,,,fixed
762,Simplii Financial,5,1,1,,variable,1.45,,,variable
409,National,4,4,1,,fixed,2.2,,,fixed
426,National,10,1,1,,fixed,5.79,,,fixed
238,CIBC,10,3,1,,fixed,6.31,,,fixed
44,TD,10,1,1,,fixed,5.6,,,fixed
430,National,10,5,1,,fixed,5.9,,,fixed
291,BMO,4,4,1,,fixed,4.25,,,fixed
290,BMO,4,3,1,,fixed,4.31,,,fixed
48,TD,10,5,1,,fixed,5.71,,,fixed
92,RBC,4,5,1,,fixed,2.2,,,fixed
292,BMO,4,5,1,,fixed,4.2,,,fixed
429,National,10,4,1,,fixed,5.95,,,fixed
213,CIBC,4,4,1,,fixed,4.4,,,fixed
101,RBC,5,3,1,,fixed,2.44,,,fixed
503,Equitable,5,1,1,,fixed,2.04,,3.84,fixed
93,RBC,5,1,1,,fixed,2.49,,,fixed
527,Scotiabank,1,1,1,,fixed,2.79,1,,fixed
529,Scotiabank,1,2,1,,fixed,2.79,1,,fixed
239,CIBC,10,4,1,,fixed,6.25,,,fixed
45,TD,10,2,1,,fixed,5.91,,,fixed
46,TD,10,3,1,,fixed,5.82,,,fixed
90,RBC,4,3,1,,fixed,2.31,,,fixed
410,National,4,5,1,,fixed,2.15,,,fixed
102,RBC,5,4,1,,fixed,2.38,,,fixed
240,CIBC,10,5,1,,fixed,6.2,,,fixed
251,BMO,1,5,1,,fixed,2.9,,,fixed
428,National,10,3,1,,fixed,6.01,,,fixed
535,Scotiabank,3,1,1,,fixed,3.49,1,,fixed
537,Scotiabank,3,2,1,,fixed,3.49,1,,fixed
99,RBC,5,2,1,1,fixed,4.79,,,fixed
539,Scotiabank,3,2,1,,variable,3.2,,,variable
31,TD,5,3,1,,fixed,2.06,,,fixed
551,Scotiabank,7,1,1,,fixed,5.29,1,,fixed
553,Scotiabank,7,2,1,,fixed,5.29,1,,fixed
555,Scotiabank,10,1,1,,fixed,5.69,1,,fixed
557,Scotiabank,10,2,1,,fixed,5.69,1,,fixed
423,National,7,3,1,,fixed,5.61,,,fixed
32,TD,5,4,1,,fixed,2,,,fixed
425,National,7,5,1,,fixed,5.5,,,fixed
652,Coast Capital,1,1,1,,fixed,2.29,,,fixed
846,First Ontario,5,1,1,,fixed,2.24,,,fixed
121,RBC,7,2,1,1,fixed,5.4,,,fixed
33,TD,5,5,1,,fixed,1.95,,,fixed
303,BMO,5,5,1,,fixed,2.04,,,fixed
331,BMO,7,3,1,,fixed,5.62,,,fixed
332,BMO,7,4,1,,fixed,5.56,,,fixed
333,BMO,7,5,1,,fixed,5.51,,,fixed
231,CIBC,7,3,1,,fixed,2.75,,,fixed
232,CIBC,7,4,1,,fixed,2.69,,,fixed
50,RBC,1,1,1,,fixed,2.69,1,,fixed
662,Coast Capital,2,1,1,,fixed,2.04,,,fixed
528,Scotiabank,1,2,1,,fixed,2.79,,,fixed
495,Equitable,3,1,1,,fixed,2.24,,2.99,fixed
131,RBC,10,2,1,,fixed,5.8,1,,fixed
524,MCAP,5,1,1,,fixed,2.34,,2.29,fixed
96,RBC,5,1,1,1,fixed,4.79,1,,fixed
118,RBC,7,1,1,1,fixed,5.4,1,,fixed
518,Tangerine,5,1,1,,variable,1.45,,,variable
519,Tangerine,5,2,1,,variable,1.45,,,variable
530,Scotiabank,2,1,1,,fixed,2.34,,2.59,fixed
532,Scotiabank,2,2,1,,fixed,2.89,,,fixed
129,RBC,10,1,1,1,fixed,5.8,1,,fixed
508,Tangerine,1,1,1,,fixed,2.79,,,fixed
784,Citadel Mortgages,5,1,1,,variable,1.15,,1.4,variable
525,MCAP,5,2,1,,fixed,2.34,,2.29,fixed
536,Scotiabank,3,2,1,,fixed,2.24,,2.24,fixed
504,Equitable,5,1,1,,fixed,3.59,1,,fixed
549,Scotiabank,5,2,1,,variable,1.75,,2,variable
540,Scotiabank,4,1,1,,fixed,2.39,,2.39,fixed
282,BMO,4,1,1,,fixed,4.09,,,fixed
674,Coast Capital,4,1,1,,fixed,2.04,,,fixed
61,RBC,2,1,1,,fixed,2.94,1,,fixed
1172,MCAP,3,2,1,,fixed,1.94,,1.94,fixed
598,DUCA,6,1,1,,fixed,4.59,,,fixed
223,CIBC,5,2,1,,variable,1.6,,,variable
72,RBC,3,1,1,,fixed,3.45,1,,fixed
431,Manulife,5,1,1,,fixed,2.49,,,fixed
140,RBC,25,1,1,1,fixed,8.75,1,,fixed
541,Scotiabank,4,1,1,,fixed,3.89,1,,fixed
233,CIBC,7,5,1,,fixed,2.64,,,fixed
40,TD,7,2,1,,fixed,5.66,,,fixed
41,TD,7,3,1,,fixed,5.57,,,fixed
42,TD,7,4,1,,fixed,5.51,,,fixed
43,TD,7,5,1,,fixed,5.46,,,fixed
